State,Sheltered Total Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Year
,,,,,2007
,,,,,2008
,,,,,2009
,,,,,2010
,,,,,2011
,,,,,2012
,,,,,2013
,,,,,2014
,,,,,2015
,,,,,2016
,,,,,2017
,,,,,2018
,,,,,2019
,,,,,2020
,,,,,2021
,,,,,2022
,,,,,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
NY,57281.0,44686.0,12595.0,,2007
NY,56516.0,44619.0,11897.0,,2008
NY,57454.0,46894.0,10560.0,,2009
NY,61467.0,50469.0,10856.0,142.0,2010
NY,59778.0,49471.0,10179.0,128.0,2011
NY,65482.0,53018.0,12302.0,162.0,2012
NY,73273.0,61742.0,11375.0,156.0,2013
NY,76487.0,66893.0,9405.0,189.0,2014
NY,84228.0,75646.0,8400.0,182.0,2015
NY,82761.0,75595.0,7003.0,163.0,2016
NY,84948.0,79149.0,5724.0,75.0,2017
NY,87603.0,82370.0,5137.0,96.0,2018
NY,88044.0,82967.0,4978.0,99.0,2019
NY,86714.0,81342.0,5297.0,75.0,2020
NY,76051.0,71376.0,4612.0,63.0,2021
NY,70140.0,65640.0,4441.0,59.0,2022
NY,98193.0,93664.0,4463.0,66.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
CA,50899.0,23701.0,27115.0,83.0,2010
CA,50691.0,26282.0,24220.0,189.0,2011
CA,45890.0,22200.0,23530.0,160.0,2012
CA,45554.0,21928.0,23432.0,194.0,2013
CA,42515.0,20964.0,21365.0,186.0,2014
CA,42039.0,22750.0,19128.0,161.0,2015
CA,39752.0,21766.0,17860.0,126.0,2016
CA,42636.0,26854.0,15656.0,126.0,2017
CA,40429.0,27475.0,12737.0,217.0,2018
CA,42846.0,30723.0,11853.0,270.0,2019
CA,47888.0,35966.0,11707.0,215.0,2020
CA,51429.0,40662.0,10547.0,220.0,2021
CA,56030.0,44553.0,11160.0,317.0,2022
CA,57976.0,46111.0,11297.0,568.0,2023
CA,48511.0,23920.0,24591.0,,2007
CA,46965.0,22917.0,24048.0,,2008
CA,50777.0,23081.0,27696.0,,2009
